('949', 'dfbf03f72ec5c90cf8ea1d7e0161cc37281ed456', 0.4456471286287367)
('2390', 'b5386ce9d0f84ff0624180edc6aab896ee8cbb4b', 0.44507854810051956)
('2182', 'f046543d725d15ea0744286dad9b10440b43922f', 0.44477604592106285)
('222', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.4445559838761049)
('2388', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.44056038587057084)
('471', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.4401636629724624)
('1588', '6fbfef62b58f87787a51d670cd0f7824e4ab7cb0', 0.43945766131965497)
('1257', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.4393064248856511)
('2033', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.43828329462959786)
('1758', 'fd3da2613d65b6c9140d165c9f281cb86f9cdb97', 0.43668385381487407)
('2876', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.43438742093427124)
('1377', '3a3f00e638540fb3ce923244dc2d514d7f862973', 0.43355530125393366)
('1705', 'ed57e419c484ef01726ebec93cebde538e45103f', 0.4333591318970326)
('1327', '9f07744b03c875d3b6cd29db63012f520c9ce58b', 0.4317021036801105)
('1925', '9b3981bfd11506573ad7d58d3b76d21f6aa38969', 0.43061298689732724)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.4299852882472811)
('949', 'b66ca83cae937fdd78a4e1cc84b6e90d61cdb842', 0.42805434146319193)
('964', '370604fd82446fbe8205c6e063aa4f128febc9e1', 0.4232379350153045)
('2033', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.42109594253159943)
('949', '51ba2f29c29019256579bf052f843bf409190f89', 0.41932337095703165)
('2545', 'e7dd64c11d0ed9dd859f0d75fc9589935891cda1', 0.4183319697854801)
('2210', '67b5e9cdc6eb8d7d00a2a70d01140c11c7428e46', 0.4164815787819259)
('2309', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.4141879007929431)
('1309', 'f046543d725d15ea0744286dad9b10440b43922f', 0.41409089572692526)
('1377', 'd3feb9374069e6d930a38e5acf07018ff8ac7010', 0.4117816990349797)
('1923', '7e7ccc11c5cac219742e355fadb8a893ebe1037e', 0.4101800763683633)
('1377', 'b84e7b946a45ec2e2b8f926e3a498df5eb69eea0', 0.4091770096978986)
('1542', '28ac36700313aecde40522e468d53b9b4de3a984', 0.403617533955519)
('1377', '552e090d11c2cbce1633a06f17ab8a01c7c4bd9b', 0.402905105417136)
('2330', 'c367131e03e90656ccc7d661defb7a3b31e509ee', 0.4028236816900312)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.3995945471282746)
('1758', '2da211287f532dc7ba4bf5c24324d64ace4abd70', 0.3992453250799703)
('1542', '814cb1f024130c048331cec876cfc8d7ddaab99e', 0.3964472881701274)
('949', '19501d678d2e9a09e19d471b4e54b541f91e907e', 0.3957595946252142)
('2378', 'b66ca83cae937fdd78a4e1cc84b6e90d61cdb842', 0.39546074209830584)
('2735', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.3946923211919923)
