('2611', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.7083718227354566)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.7065011735759759)
('2611', '97ed996c05380cc817a4d527ebe7d5f79e9d11ec', 0.7052229814237523)
('1695', 'a18d4122c53824033c3e345a09c4fbabbdcf4300', 0.7033853832789227)
('1396', '8f44fb09b48e57b9861352d70e2268c1f28be11a', 0.7029781491756961)
('2037', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.6984126283879196)
('1601', '8a899618a0772b097714579042f58d5c23302b9d', 0.6982914641676002)
('1717', '9342048f6f768e47a49b19f709850f21c93a07c0', 0.6980941529853097)
('1799', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.6968013311082634)
('1342', '0caef089404ea30e787557632d664fca27d902b0', 0.696606163774546)
('1396', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.6954365523933078)
('1257', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.6901305189272591)
('471', 'c01c49bfd8ae335e6a3c86ad4c5942a918b4db91', 0.6896090395226924)
('471', 'f2e2146adbd9d424e8ee566528929478e9037a7f', 0.6892752871109761)
('1396', 'd66fcf737ea2d757611731275a4fc0c248d1c592', 0.6888319771139502)
('1526', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.6883769745418679)
('1591', 'aa8cfcf4f8c8a5b3943728ff9bce9c64b976ab3e', 0.6857902590771668)
('1931', 'b54a987cc86f918318b006dd4076b1bbaea8468e', 0.6849513014645253)
('1542', '4a273c6fe4a2e4b4e16f513c374da6fca9ac09ba', 0.6824015488836701)
('2114', 'ac5edc6b363f4f1baf4cc0462067a96b162476ba', 0.681454237066873)
('1796', 'ca13e8ff5a78c83f953fa8fb320c56be223219e1', 0.6813005046327314)
('2309', '0f3a3d87c79fef2d702923d858c42e08d51b62c5', 0.6802207610858862)
('1695', 'e98fba644d8584a5d40a07ec243411d1a1d1942b', 0.680132182547966)
('1611', '4e00ace631c06215629f7fdc1fe324502a119530', 0.6794904503436061)
('958', '6ac76acdfe73b3fc10987da67c70c3b75c8cfad1', 0.6773109023956896)
('1433', '9d5c25e12ec36a8ae3fa4f2cccfd60fb337a7875', 0.6771756645437808)
('1396', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.6770336133394697)
('1799', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.6761017412996959)
('2509', '863ba9a053091d45089a6535e12367421bf6950b', 0.6748427115418235)
('769', '8f44fb09b48e57b9861352d70e2268c1f28be11a', 0.6736260090962808)
('1796', '31aa93a5682b3f5db9c4f66568094623f0feea5c', 0.6736142152433671)
('949', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.6729826916134279)
('1611', 'a288d1014bf49f5867a9ed579e72db60a66cba9d', 0.6727514629670768)
('1283', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.6710918695436017)
('1396', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.6683231626417391)
('1542', '80d3e9824186e258b19f637e9aa8d51c4966e979', 0.6682917149486615)
('2658', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.6669193201881135)
('2371', 'dfbf03f72ec5c90cf8ea1d7e0161cc37281ed456', 0.6666111342530108)
('2115', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.6664249741770779)
('2093', 'ee5ec033bae774798f73dd1db4e68566799977f4', 0.6660617774895827)
('2115', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.664517143564622)
('2033', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.6621031096949651)
('1695', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.6609527854186455)
('1556', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.66076404032745)
('2183', '6d9c176450b430fc23bb8da4c73142cafe505ad4', 0.6601115057027072)
('769', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.6600459308696802)
('1689', 'de9607e69f6d85090afc6c92da4e1e29800bb80d', 0.6597674826071623)
('1536', 'd0450a23a432be87b3945d4b613d80fb7124e7eb', 0.6587393002576671)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.658154432317036)
('1591', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.6580433788819263)
('2135', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.6565222809407275)
('2611', 'ad465781ea4f593796bd21654d1ff4737ab12266', 0.6560624928208643)
('1270', '64e0794dd3592e797328696ece26f2753dce0a45', 0.6555870887034161)
('1542', '97933dd516de98dba7acab97dfa54b73b6a4a49d', 0.6551181164661631)
('769', '6ac76acdfe73b3fc10987da67c70c3b75c8cfad1', 0.6550073227382377)
('1931', 'e8799e61b1b608f29be5554bc5bc3697dbd12cc3', 0.6549059160833828)
('1796', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.654657026353693)
('1396', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.6539668307150902)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.6529530355254821)
('989', '0d4e591f680453ae00e47e8c3d2c6b05d7b54062', 0.6520982129144427)
('2034', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.6519808034059978)
('2545', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.6499438100328521)
('1905', '4b7093dc6a43d107c6032a5f4ae958802d277eda', 0.6495685714376467)
('1396', 'f45e3203f9c3ce72f1ea265680e0efd47b701f9b', 0.6494196184737904)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.649041290569657)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.6453738730033477)
('1715', 'a288d1014bf49f5867a9ed579e72db60a66cba9d', 0.6452647363631805)
('1637', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.6450360838517267)
('2183', '7ced41022881aa4796ab4779b98d82b89a022300', 0.644822106669645)
('2388', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.6445317858775222)
('23', '25a5f359b184db8fe4edc1cd185e55c5b99abe39', 0.6440770045819413)
('1808', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.642907202257454)
('1304', '404ad9a6abaf4d49ef5320284e33172a5729ad2a', 0.6383275409161422)
('1760', '08f0d3b4615c81eb16ea01d8f4c712dacf93caee', 0.6378134023236706)
('1684', 'a75f68e193bc45b2451d95bd84fcf3bf04651041', 0.6359972945870537)
('1684', '42d4ddd11fe14fa18c8fa60aa0dd3d9f182093d6', 0.6359843684993546)
('1717', '7397b1febc5bb1b6114941ce2359960987104388', 0.6348987942170164)
('2183', '00eefb99b428759d73095b252fc60c191ace432a', 0.6342449200982427)
('2545', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.6335538116595595)
