('15', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.8467582177907589)
('135', '10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468', 0.8467242569658365)
('274', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8451581035230479)
('1081', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8408329553131805)
('1059', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.8406336808575495)
('619', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.8381689861222095)
('284', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.8381114272098062)
('128', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.8374873119665205)
('135', 'ca350a79bd800889226f129bb7765fbedde4cc5f', 0.8373730482321157)
('296', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.8366589794321088)
('274', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.8351778113466426)
('1081', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.8309169177702868)
('1002', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.8296974900112032)
('1002', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.8290118195893451)
('1083', 'b9c4884af137e92523b13c2799d1acca5f5d36a5', 0.8228083759463629)
('176', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.8173389088766864)
('709', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8169336599823318)
('171', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.8161964509540282)
('742', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.8161316273109674)
('145', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.8146922827393304)
('942', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.813985472228342)
('455', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.8121807553719106)
('709', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.8110049168612925)
('449', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8107164619003994)
('912', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.8079987241532498)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8076494049080245)
('844', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.8056652616415991)
('208', 'bc7927fe758638afa0af7da3e37a4c6754ce5d85', 0.8050630640130099)
('208', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8047748426321236)
('942', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.8037190882210203)
('15', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.8029963654640616)
('1002', '69170f58df0250e43066e4b56e038fced05f2268', 0.8016134071986469)
('449', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.8011262025795856)
('442', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.7976587311012558)
('144', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.7921243693191555)
('284', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7920780607422719)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7919606550857908)
('15', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7907758784857859)
('528', '780b4f715bf5f790fc249830d054d68eb153890a', 0.790704617755584)
('528', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.7906974751723722)
('528', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.7906886597585103)
('528', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.7904331886324557)
('296', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7899435463013176)
('528', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.78991524231354)
('208', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7896146729065043)
('528', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.7888266238655616)
('528', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.788127084685375)
('208', '83fee4ffbbc87903f05f297615fee87aac2eaf2a', 0.7874508393272088)
('619', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.7873014235849588)
('284', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.7873008358449979)
('296', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.785790377144516)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.7855285189255558)
('360', 'ac773009f8fdcc84a9f44a3fb36f353ab78d682e', 0.7851779054538678)
('1076', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7812436234743123)
('1076', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7803085871979434)
('144', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.7796963594635449)
('144', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.7790836210183869)
('112', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.7787604241189204)
('455', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.7782208847657737)
('1075', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.7742300264197027)
('145', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.774042091750652)
('202', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.7715298056390075)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.7698754100670391)
('1075', 'ecdd619da78831929d53c27c90f15e193a500998', 0.7690018679259032)
('176', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.768184986129434)
