('132', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.39151212278090436)
('125', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.39088939853030746)
('255', 'cd2e8050e3c4fc53105620feacd29f97b55aa3a2', 0.38707794444072224)
('470', '47956ce6ca7261a97b0c00bb65b4d1b74c582477', 0.3864614317770998)
('1044', 'e2c6133455a065ba2fef329492b4ef58d9452698', 0.38605219407923946)
('135', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.38389341745125294)
('777', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.3798152424958149)
('1210', '2ad6a656fc1f4de38d0e5455e23dc356dcb339a0', 0.3782545721304616)
('470', 'f2f2fe289527f179482074f37ad8f2ac98957b69', 0.37444991969055685)
('4', '196854837e8547242dd5c7db3f484c17f331d8e4', 0.3678181685884016)
('121', 'd5c4823355a941da0b570072a2ced562fa488e73', 0.3626409194548169)
('1368', '796984fc2188231b38783a13e27a393742ee3733', 0.36204451869301324)
('134', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.3616468396645289)
('121', 'afbc94434b6718d19ff68ee732e4512f8d7499a5', 0.3588016317901673)
('132', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.35580758691101294)
('125', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.3556003690450469)
('1324', '69cb4fbe3a0604e43297ef801760a89c3e764ba0', 0.35554957074431043)
('134', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.35446013209091676)
('1091', '916449b2398f463d3edcec0d659996e2de44aa01', 0.3531249437138934)
('320', 'a83051be401b1f5a1a26af69e72f85cdb4643d0c', 0.35285049167079063)
('257', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.3527476440226725)
('611', '3eae9a5df9ba3568b9ac6fde1901597985742fe9', 0.35087805590546917)
('759', '1a8879ce37279612d3176b71307d2714c730a691', 0.34942466442428066)
('470', '24f32a274ba632cd06e6e5a1ed622078bb02f13b', 0.34838216066859035)
('257', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.3457860429155179)
('230', '1f058377e93a7ef5ab6ba2a301534d3ddd77021d', 0.34543337895455234)
('194', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.34520936036826333)
('171', '88499baa70359729208f27c64e6b4419e0f2b3f9', 0.3443816415866738)
('677', '10c42d94b8c6bd515040375959701cf3e6c07bc4', 0.34204525777349365)
('135', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.3414642530946418)
('892', '353f4c2b269d76302f4a39525fa2248ea9edaa77', 0.33713816734019847)
('125', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.33634634663875734)
('639', 'e02999f1ca777befb4f288e1572cd4b857fddf20', 0.33632056331713156)
('640', 'ad6d855e0dc8073c04da02b045bbe85069f008f3', 0.33620163603454134)
('1091', '315f933487f6677545ce26b293a6f2820392515e', 0.33452795158560605)
('1330', 'bde50ee2f62eb631420da1024bc705aa8878580f', 0.3332362107345582)
('121', '7447257bbb9835e4727afa8afcf1d3e0bf1ec96e', 0.3299683072019746)
('629', 'b526ced5f922c2c9979b144a3cb902d9b32222c3', 0.329032510302669)
('134', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.32756506970920246)
('639', '36dee79ca08ad397a3ea924df4577dc40811236b', 0.32424654462445573)
