('1922', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.7816780440271374)
('1542', 'e9334f09e2baed8be847115ce79a3d536dcdd44f', 0.7795617980088281)
('769', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7775869446017544)
('2183', 'fb8dba752051a0280f4356eb90eea3f1c8e8ed5b', 0.7773792970498703)
('769', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.7773133060801656)
('1542', 'a7c8c933071aaec70a0137ede5e63d23d28d5255', 0.7762944509192722)
('2374', 'f8b79a9b74684b6924a72be4bc4007cf9aaf0abf', 0.7761292946043732)
('2183', '00eefb99b428759d73095b252fc60c191ace432a', 0.7749864511915828)
('2051', 'd395ad917887ca80de409abe91e473827ef1f4c2', 0.7746167796002636)
('949', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.7745201911439321)
('2034', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.7736212395092361)
('2310', '0604a3c71b790d804eda9956bae0851ed149620a', 0.7720479557501029)
('1717', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.7716849719969202)
('949', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.7713040905937563)
('949', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7710965552993883)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.7702000789525709)
('1899', '9d73b9e155f2372ba18987b2fb7239988e00351e', 0.7700349569046986)
('1542', 'e1442826796f36496285da907a7a0946d525377a', 0.7694616136799872)
('2611', '51ba2f29c29019256579bf052f843bf409190f89', 0.769450174133273)
('2088', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.7693527933779407)
('2082', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.766543695930663)
('2260', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7663509166715876)
('2509', '863ba9a053091d45089a6535e12367421bf6950b', 0.7661364529506336)
('2183', 'd3266ca300a9585e84aedf93b5448e314cc2edc8', 0.7659470400321734)
('1899', '866a573e0b2b92a46edba9e5fbec9eb8940976ba', 0.7657167054307235)
('2116', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.7653980401963166)
('2116', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.7649033668774506)
('2183', 'e1442826796f36496285da907a7a0946d525377a', 0.7646422354109111)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7645360782537296)
('2183', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7643833493549517)
('949', 'c2148ceb76858fcea0bf3e093ea74c9152aebca8', 0.7639900881038804)
('1131', 'e0a1b49e4b98a378a98936270f0cc308669f1b24', 0.7635482462692179)
('783', '5147c46ade6bf649b43a79f54bd2b5751b4c52e3', 0.7630279160318287)
('2080', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.761831527731694)
('769', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.7616272261420995)
('2182', 'f9690afba0a58f4b624514660efdbfed6c5ba60b', 0.761021378840906)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.7603939210869589)
('2260', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.760310730124192)
('162', '7de7072d09fea20047bb549afceebe7641d912fb', 0.7583133913441448)
('2611', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7581957318897775)
('1637', 'd847599e530d7d170d86f6ad60ffbd9ffc3b894a', 0.7579747097812083)
('769', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.757870615720328)
('949', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7577518876149166)
('1815', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.7577425196987847)
('769', 'fd872b99440b6484a16338400e56a470009325a8', 0.7565722756128177)
('2222', '6d9c176450b430fc23bb8da4c73142cafe505ad4', 0.7564711580079903)
('2183', 'ba13f107c934b223412ee339a8cc01579577c378', 0.7558906062573233)
('2545', 'c2148ceb76858fcea0bf3e093ea74c9152aebca8', 0.7557526922874677)
('2183', '51ba2f29c29019256579bf052f843bf409190f89', 0.7555139395487752)
('949', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.7549626743395611)
