('1439', '92fd2a7fad7c31206957884c910dfe47c0f5f020', 0.2519943688154946)
('134', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.25191138721177075)
('977', '403cdf13a1490019d9c426bd72189ff9a0833d7e', 0.2502106586512556)
('135', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.24945230692951495)
('255', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.24935115498915222)
('125', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.2491635443501193)
('132', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.24829790346716502)
('132', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.24550517233536429)
('132', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.24526950032805286)
('135', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.24447863075324644)
('886', '7eabbeae6aaf0d63d59cd7dd753d89254aa70324', 0.2416220514939942)
('135', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.24151893305567737)
('125', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.23854835976472671)
('470', 'f2f2fe289527f179482074f37ad8f2ac98957b69', 0.23848075855341808)
('124', '67a33cc782e983e4bdf4a1b9f8ec6dda7988ceaf', 0.23706218150995062)
('640', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.23705180813101795)
('134', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.235754171280234)
('125', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.2356604548833093)
('470', 'aa139a5531348767c56cc3e3a134253659af6dcd', 0.23394964932566503)
('778', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.2316274201778111)
('134', '1a60230e72f9dc496f07567c323d94bbc92ee3c7', 0.23116599034104618)
('132', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.23067522792297357)
('794', '309ef9ba00ac880766c35567b53f0d06e3fa735b', 0.23042048956873556)
('628', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.22995776495064918)
('639', '7a5dca48ae837e143110c66a37a1f6a5bfa12e9a', 0.2279145699116121)
('666', '61d53e2a0693f80752a71797d40306f7f7ab5af4', 0.2266911464197042)
('228', '1a60230e72f9dc496f07567c323d94bbc92ee3c7', 0.22333956439564492)
('470', '8c05c7d45ef811d0e7c2c97a05f55c0d729b21cc', 0.2233375685673886)
('583', '816f2c446fadb431fbd89e3cd260cad9bd8b4ca7', 0.22312086039815007)
('132', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.222975347124019)
('470', '24f32a274ba632cd06e6e5a1ed622078bb02f13b', 0.22208462238178997)
('568', '195002868f9d2a56eb795296c75dd0dd730e3d9f', 0.22133978797540668)
('124', '2b9fe73427e621147dfacc511ddf397007252f47', 0.22036036829772543)
('134', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.2186292585269946)
