('766', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.1330780257105107)
('192', '039da3491a462fed46876dfe26135961642db286', 0.13297985076808716)
('729', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.13017549432235448)
('729', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.1264163595181051)
('170', '08f7da201f696c98f68c52215dced2992302258a', 0.12523414134653876)
('561', 'f0a42d31bdb8789dbf318874060e11e0f43cf5c7', 0.12278199424471692)
('152', 'f6d48d4b844a088cad18ec2942549d4fbf4c5b7a', 0.1220912081388154)
('559', 'f0a42d31bdb8789dbf318874060e11e0f43cf5c7', 0.1189126566801619)
('794', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.11808439688131556)
('729', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.11180544405768922)
('330', '4f236e1fe342b4fe469bbc1ff9ff83771f122598', 0.11063141761195606)
('794', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.11008099008275472)
('708', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.1044312301126143)
('717', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.097771199251419)
('643', '1fd50e66ed3388fb44151983760bc146af993824', 0.09773848572008675)
('669', '6891e5011099516aeccc6b3ea8f9bc956086e0eb', 0.09633430723773913)
('557', 'f0a42d31bdb8789dbf318874060e11e0f43cf5c7', 0.0952534720603512)
('658', 'f35223312b74743886436770f5172cb25e4e0974', 0.09312995564687605)
('415', '7036fa85a9baf1976f7709114a28d98507c2a519', 0.09059983486052396)
('643', 'f35223312b74743886436770f5172cb25e4e0974', 0.09017784859460455)
('224', '84837ae5ba937262834daae41d3be0e04c548537', 0.08593444575010442)
('643', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.0852510211320497)
('761', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.08382253150207988)
('766', '072c177008dc74ddcfab55f7a6d441a5b7d5aa5a', 0.08339804368254818)
('809', '258c36ae087c1615485201c98ef760f881be1b05', 0.08276736865464666)
('163', 'bea7ba92f374caefa4c65136488aac6bc50a4142', 0.07827950865845482)
('850', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.07815068368187901)
('221', '84837ae5ba937262834daae41d3be0e04c548537', 0.07736972009172288)
('236', 'c20c175b1c1da52a8b1f72b7fae380e22af266b8', 0.07378307300734785)
('606', 'a71e23a635292629f9d87e35f50fd21889dd450e', 0.07311975026051522)
