('247', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.44742851103319226)
('54', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.43993553727027984)
('1', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.43492229947679256)
('168', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.4192605538190967)
('256', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.4179606605171645)
('178', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.4164788536806093)
('128', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.401060611322828)
('256', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.39846923755933344)
('128', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.3921188505700737)
('128', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.39204058656279744)
('128', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.39198531231100925)
('128', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.39197523856695593)
('128', '30919083e84756b64c9520329369896987972855', 0.3919479989514837)
('128', '8074576b98adb5618832c8b5b209d95589acd32d', 0.39194088707601343)
('128', 'c348398d45788564a63221179fc6c60f5af23583', 0.3919115780217078)
('128', 'd3751a99af4faef49632b6c88874b96682faa630', 0.39187296786375)
('128', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.39152167748637656)
('128', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.39010723667526764)
('115', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.3857781087468795)
('128', '0667224647701d1b0562b3e872f43ef520a33599', 0.3810678097052958)
('140', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.36188008847896774)
('1', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.3600000913839298)
('1', '30919083e84756b64c9520329369896987972855', 0.3599763563793894)
('1', 'c348398d45788564a63221179fc6c60f5af23583', 0.35995160339977644)
('1', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.3599437955864614)
('1', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.3595997083665048)
('1', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.3595612634390961)
('1', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.3594708823713568)
('1', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.35653228542835386)
('140', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.34824364641273464)
('239', 'd3751a99af4faef49632b6c88874b96682faa630', 0.3443959688045136)
('239', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.34430898462051424)
('239', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.34420888840838626)
('239', '30919083e84756b64c9520329369896987972855', 0.3441536530980007)
('239', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.34413612376684244)
