issue_id,commit_id,method,score
MNG-561,140426630966c883f99eb0eb6a807d1ec31dd219,default,1
MNG-561,9985c8f364e5e62424790fb9d62559ed0de2ec83,default,1
MNG-564,81afd8229621b78cafeed15b50dc369c474fa0a7,default,1
MNG-565,4a0a96f91872e645e4672d6f9359cb0c12716b7b,default,1
MNG-567,53fd3dd6fbafa7a0400fc2eea20b4adb16d7b8b6,default,1
MNG-579,fd615cbeea84d268448ec7dc78f3220ee727a307,default,1
MNG-582,64a704b7b7e854c0af2b0094596929687b13a724,default,1
MNG-588,cbb5657526f1fd8c29d13a32d7214e3f59b77aa1,default,1
MNG-592,1e1efffcbab9eccc76a991a4f6c06838014b27b8,default,1
MNG-593,8c3bbcc397651eedc7c0eaebf6cb1e4a6a0d265b,default,1
MNG-598,826413b74a50865c55b200deae55da7ad2bf3764,default,1
MNG-598,e78bef04292b2804a9569346e0643c447a5441dd,default,1
MNG-599,5125817f61ebfdacbeafb3a2d1711abe2508a85b,default,1
MNG-602,e1c8ffb2515d57ec818266e719daf081b1380aca,default,1
MNG-608,0f9196a83dfa3893ce067c304051093bb71e7a9c,default,1
MNG-608,13c5bc0df84327a684b497f03f42ab96be8782a0,default,1
MNG-614,19ebd621e777faff9264c3ff9dd341f33d4495e8,default,1
MNG-619,a6b1274828ff3aa4ff4cfe91c51a1b30afbbad5c,default,1
MNG-628,9f5fbe1f7269df734bc0ebfba5a544cf94eacc5b,default,1
MNG-629,e88e09c282a28fec04a3eb4b70eb422a11561e63,default,1
MNG-629,8858d8f85cbeb5e91c6613d3a593058c8ab5b9c8,default,1
MNG-633,c757e62b3aca2e82b602dd149322eec422a49327,default,1
MNG-639,6a5e89785edbae446326941686f8db54fdb3e6de,default,1
MNG-651,2ddf785fef7d6c7a2bd004a0b3ef01e1edc78cb7,default,1
MNG-664,3288b82caaf9e849d7f1753ee0ba0c2dcc01b868,default,1
MNG-666,da3aa1090f4d1cf5ba42f28f0c520d498ce03b5d,default,1
MNG-674,3c53a1305da5a75d6452ff46b9cac755b66c4dec,default,1
MNG-680,1398c7c6af342949e188b8ad3bb4f1538cc80029,default,1
MNG-680,8948d497ce9452b224704be6297c2fb9e2574730,default,1
MNG-684,013d4039fb6bd958811a9d5f8aa50c1ad474ee1e,default,1
MNG-687,869525558b623db2ae168acf3d3275cc62846c86,default,1
MNG-692,ad947569c88db1febc60a6c7de8f52b1cdc11e81,default,1
MNG-692,7a69f15c15f10e0bdc236b43289be490630de99b,default,1
MNG-693,c945c27bff5290f4c9eda972e3e771f16da8f4ba,default,1
MNG-695,08da2ff2484d8ba053883e98273af8c25d37d7d1,default,1
MNG-709,4935728adeca6daf42355a949cab4ee56759543d,default,1
MNG-709,fcc893a626fddec778a6d25b0efca7d248977d04,default,1
MNG-711,2823fe4711c534cf88b6f1ae4873426d32b677e6,default,1
MNG-717,4ccb9068fbf1a525c9046824349590f6b5e3b1ad,default,1
MNG-722,6db6fb89094bb92c9fa57bc6f83a6fdd7e037c41,default,1
MNG-722,a1330472808a3a615c5b6319803e029ae4a977d1,default,1
MNG-729,932caa362ac4e9720f01426478062e044478df4b,default,1
MNG-754,c29e4dbabc5de42ec8f8cf08a8f3e401be16c2d0,default,1
MNG-755,570bc62482f030fefca8a58a5ef5e10980fb391a,default,1
MNG-757,2f2db94232a6b9fee340a56ab3e9c238fce62b6e,default,1
MNG-757,5d0298a9421f53ce2c2c71a1ad73e25b1387effa,default,1
MNG-761,294199b388c096b71ae3378a31992793164387a8,default,1
MNG-766,252b1510521a735d81a7663b1a1eaee21391bcae,default,1
MNG-767,24a108a674209394edd8b1ef32c36439ef226eb8,default,1
MNG-772,d6bd62e537c6d132d2f95707a388d4ca74de6779,default,1
MNG-773,f437fb5dc2da383064a38a58d846adef3f0bc459,default,1
MNG-781,6829625d1b41967e61c1fc40d80a8b6afcee2aad,default,1
MNG-781,ca3882cde67100937744ca04530b122b71439bdc,default,1
MNG-786,47d9a60537492490741c4fb9b09f5da38debfa46,default,1
MNG-786,b975bdad381db3ecc8b38f3efc6a54431b2e0115,default,1
MNG-789,1b81c99d57e582ee09447f8a60733439d3cc27ac,default,1
