issue_id1,issue_id2,method,score
MNG-2576,MNG-4260,default,1
MNG-2619,MNG-3057,default,1
MNG-3297,MNG-4526,default,1
MNG-3297,MNG-3941,default,1
MNG-3645,MNG-3616,default,1
MNG-3645,MNG-4644,default,1
MNG-4555,MNG-4554,default,1
MNG-4553,MNG-4666,default,1
MNG-1127,MNG-230,default,1
MNG-1117,MNG-4,default,1
MNG-1108,MNG-4522,default,1
MNG-1088,MNG-2135,default,1
MNG-5730,MNG-5568,default,1
MNG-3395,MNG-3787,default,1
MNG-3395,MNG-3394,default,1
MNG-5647,MNG-5452,default,1
MNG-6223,MNG-6191,default,1
MNG-6223,MNG-6198,default,1
MNG-6223,MNG-5889,default,1
MNG-6223,MNG-5338,default,1
MNG-483,MNG-709,default,1
MNG-479,MNG-4769,default,1
MNG-469,MNG-366,default,1
MNG-2972,MNG-3426,default,1
MNG-385,MNG-508,default,1
MNG-4167,MNG-3057,default,1
MNG-4162,MNG-4163,default,1
MNG-160,MNG-159,default,1
MNG-155,MNG-153,default,1
MNG-154,MNG-45,default,1
MNG-154,MNG-153,default,1
MNG-148,MNG-250,default,1
MNG-4925,MNG-5019,default,1
MNG-4922,MNG-4926,default,1
MNG-2562,MNG-1832,default,1
MNG-2562,MNG-2561,default,1
MNG-2562,MNG-1832,default,1
MNG-1525,MNG-3940,default,1
MNG-3364,MNG-3365,default,1
MNG-5397,MNG-2570,default,1
MNG-5397,MNG-519,default,1
MNG-5397,MNG-5239,default,1
MNG-4761,MNG-4800,default,1
MNG-3776,MNG-4867,default,1
MNG-6022,MNG-5962,default,1
MNG-5181,MNG-5289,default,1
MNG-2636,MNG-3907,default,1
MNG-2636,MNG-3224,default,1
MNG-2664,MNG-2228,default,1
MNG-4615,MNG-4764,default,1
MNG-2865,MNG-3461,default,1
MNG-3203,MNG-3401,default,1
MNG-3203,MNG-4919,default,1
MNG-2720,MNG-2045,default,1
MNG-3700,MNG-3710,default,1
MNG-2068,MNG-2318,default,1
MNG-2187,MNG-2254,default,1
MNG-2186,MNG-1927,default,1
MNG-2186,MNG-2124,default,1
MNG-3183,MNG-3463,default,1
MNG-4771,MNG-4772,default,1
MNG-4768,MNG-4690,default,1
MNG-2795,MNG-2749,default,1
MNG-2787,MNG-1245,default,1
MNG-5145,MNG-5188,default,1
MNG-1995,MNG-3530,default,1
MNG-1957,MNG-4512,default,1
MNG-77,MNG-78,default,1
MNG-3662,MNG-3924,default,1
MNG-3662,MNG-3930,default,1
MNG-3057,MNG-4140,default,1
MNG-3046,MNG-3047,default,1
MNG-5935,MNG-6229,default,1
MNG-2570,MNG-3463,default,1
MNG-2570,MNG-5239,default,1
MNG-5748,MNG-5575,default,1
MNG-5747,MNG-5181,default,1
MNG-5745,MNG-3891,default,1
MNG-4644,MNG-4643,default,1
MNG-2166,MNG-3511,default,1
MNG-5344,MNG-5397,default,1
MNG-5343,MNG-4749,default,1
MNG-2685,MNG-2503,default,1
MNG-2682,MNG-1069,default,1
MNG-2681,MNG-5064,default,1
MNG-2712,MNG-3415,default,1
MNG-2712,MNG-1320,default,1
MNG-5610,MNG-5609,default,1
MNG-5608,MNG-2363,default,1
MNG-4800,MNG-3775,default,1
MNG-4129,MNG-2103,default,1
MNG-2025,MNG-2254,default,1
MNG-5382,MNG-5343,default,1
MNG-4084,MNG-3641,default,1
MNG-4082,MNG-4144,default,1
MNG-4082,MNG-4145,default,1
MNG-5775,MNG-6173,default,1
MNG-4528,MNG-4561,default,1
MNG-3086,MNG-2123,default,1
MNG-1142,MNG-2988,default,1
MNG-2699,MNG-2692,default,1
MNG-2695,MNG-3314,default,1
MNG-522,MNG-1052,default,1
MNG-522,MNG-3018,default,1
MNG-522,MNG-4321,default,1
MNG-4750,MNG-4845,default,1
MNG-4749,MNG-4664,default,1
MNG-4749,MNG-4725,default,1
MNG-4747,MNG-4787,default,1
MNG-5482,MNG-5354,default,1
MNG-4850,MNG-4877,default,1
MNG-674,MNG-4997,default,1
MNG-674,MNG-220,default,1
MNG-662,MNG-607,default,1
MNG-662,MNG-521,default,1
MNG-662,MNG-250,default,1
MNG-4151,MNG-4143,default,1
MNG-4254,MNG-4228,default,1
MNG-4254,MNG-4235,default,1
MNG-4254,MNG-4236,default,1
MNG-4254,MNG-4279,default,1
MNG-4254,MNG-5175,default,1
MNG-4107,MNG-2309,default,1
MNG-4106,MNG-4107,default,1
MNG-4106,MNG-2309,default,1
MNG-4666,MNG-4725,default,1
MNG-3975,MNG-3794,default,1
MNG-3965,MNG-3979,default,1
MNG-3962,MNG-3966,default,1
MNG-3962,MNG-3967,default,1
MNG-3962,MNG-3968,default,1
MNG-3962,MNG-3980,default,1
MNG-3962,MNG-3981,default,1
MNG-3962,MNG-3982,default,1
MNG-3960,MNG-3972,default,1
MNG-3957,MNG-4034,default,1
MNG-3957,MNG-1957,default,1
MNG-5366,MNG-5562,default,1
MNG-3934,MNG-3927,default,1
MNG-3933,MNG-3988,default,1
MNG-6057,MNG-6090,default,1
MNG-6057,MNG-5576,default,1
MNG-4732,MNG-4915,default,1
MNG-4725,MNG-4807,default,1
MNG-1007,MNG-787,default,1
MNG-971,MNG-1137,default,1
MNG-3625,MNG-3914,default,1
MNG-3625,MNG-3908,default,1
MNG-5895,MNG-6090,default,1
MNG-5895,MNG-6057,default,1
MNG-5894,MNG-5931,default,1
MNG-5894,MNG-6014,default,1
MNG-5892,MNG-5931,default,1
MNG-5395,MNG-5396,default,1
MNG-5391,MNG-5245,default,1
MNG-3217,MNG-3284,default,1
MNG-3991,MNG-4005,default,1
MNG-3986,MNG-3983,default,1
MNG-3485,MNG-2664,default,1
MNG-3483,MNG-3391,default,1
MNG-415,MNG-148,default,1
MNG-3494,MNG-1412,default,1
MNG-3719,MNG-2258,default,1
MNG-3719,MNG-2784,default,1
MNG-3718,MNG-1832,default,1
MNG-3718,MNG-2562,default,1
MNG-3717,MNG-3842,default,1
MNG-3714,MNG-3891,default,1
MNG-3714,MNG-4287,default,1
MNG-3709,MNG-3088,default,1
MNG-3704,MNG-4137,default,1
MNG-2105,MNG-3867,default,1
MNG-2103,MNG-4677,default,1
MNG-1577,MNG-2892,default,1
MNG-3475,MNG-3498,default,1
MNG-3475,MNG-3877,default,1
MNG-3469,MNG-3467,default,1
MNG-3469,MNG-3468,default,1
MNG-3467,MNG-3468,default,1
MNG-3864,MNG-3995,default,1
MNG-3860,MNG-3904,default,1
MNG-3853,MNG-3970,default,1
MNG-3853,MNG-4009,default,1
MNG-1244,MNG-5823,default,1
MNG-3268,MNG-3545,default,1
