('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('63', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('63', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('63', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('63', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('63', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('63', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('63', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('63', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('63', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('63', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('63', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('63', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('63', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
