('559', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.0)
('559', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('559', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('559', '15873145252823f57110c8ef0b8bf8964902a098', 0.0)
('559', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.0)
('559', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0)
('559', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0)
('559', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.0)
('559', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0)
('559', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0)
('559', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0)
('559', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.0)
('559', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0)
('559', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0)
('559', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0)
('559', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.0)
('559', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0)
('559', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0)
('559', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0)
('559', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0)
('559', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.0)
('559', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.0)
('559', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0)
('559', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0)
('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.0)
('405', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.0)
('405', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
