('415', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.8767894029284174)
('1028', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8762834080779802)
('284', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.8757916197607372)
('724', '5aed505429694130a76115b7a4219b1a36f53346', 0.8754234817529857)
('145', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.8748541278714945)
('782', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8744021878339698)
('374', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8719621770765547)
('11', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.8718248893171567)
('626', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.871070931454002)
('11', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8706444224871173)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8705210973071446)
('776', '83689ee519790b85ee56a54d2e7fa350fef2db82', 0.8697826783565034)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.8691785422674158)
('173', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8689023112826698)
('331', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8673779520031671)
('440', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.8671784709911889)
('896', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.8635259741033007)
('768', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8633970264497288)
('942', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.863084443765382)
('942', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.8628065860006308)
('896', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.8612730887883897)
('291', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8610510212522371)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.859768499159295)
('231', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8582642223222515)
('1083', '346d091d003a8b604ae2a462bc88bcabc4a57317', 0.8581646754714132)
('724', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.857794391118198)
('138', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.8554105950813262)
('138', '38f2f98da3eb53592c0731297cc19ef858353372', 0.8545919566431978)
('11', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.8545032209550694)
('282', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8543785888873824)
('896', '82f8a9fc980dd428eb45c8f66789564632723897', 0.8528441303764963)
('521', 'ea889cb0049fd2398ee98bf77d327c2536fc3239', 0.8515087575233489)
