('1542', 'a7c8c933071aaec70a0137ede5e63d23d28d5255', 0.716496132246437)
('1309', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7160761693243287)
('949', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.7146604991616905)
('1481', '51a9a616dc346aee6f6932f4eef1feeb14ad006e', 0.7143737873488897)
('769', '637ce1627e4943166f274ca30409e193433532a1', 0.7134932724132371)
('2611', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7130993516492077)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.7129078147598003)
('2509', '863ba9a053091d45089a6535e12367421bf6950b', 0.7121245957498653)
('1598', '063ca30b4153ca10bdbb60d0cb64856bd97efd70', 0.7110177075710964)
('1695', 'f9adf9e72a5d58b397a7010ef0d4c4bfc558ffdc', 0.7109963840350402)
('2182', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.710928977221551)
('2183', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.710383110329811)
('949', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.7092512211462418)
('1637', '08f0d3b4615c81eb16ea01d8f4c712dacf93caee', 0.7090877486697231)
('1396', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.708022915026359)
('769', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.7074515013491557)
('2310', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.707126967504177)
('2093', '7393c725c2451d111bb3bec35f8e92ed73d1a8aa', 0.7065107144377721)
('1542', 'e1442826796f36496285da907a7a0946d525377a', 0.7061363525248242)
('2545', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.7059669056492424)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7056758390567555)
('2080', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.7056255748831182)
('1567', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7055799529378334)
('2545', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.7055515466308154)
('1329', 'e2835fdc6943bcf0a95af8d8f9e23feb81a747d9', 0.7043037225055844)
('1542', '3ea9c0c8ba343f19ba54525323768f4c648fe2a2', 0.7035246864948567)
('2183', 'eb8b901fadb0ace37316dfa1507aa620848f128f', 0.7033857392708469)
('2545', 'c2148ceb76858fcea0bf3e093ea74c9152aebca8', 0.7033327839852817)
('1645', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.703295699044119)
('1542', '7bf323cd5788ac316b02662caee7b590307fd604', 0.7024688183869957)
('769', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.7024559715819402)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.7016857653880029)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.7008564452684308)
('769', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.7007372215900033)
('105', '80a2da2973e97db09f967a6b49b2f2b580cdba1a', 0.7004524453916959)
('1695', '0da4c693d3e1aa3d5506089887ee013964cce0bf', 0.7000751703438532)
('2082', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.6991790768560175)
('2082', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.6990142210268101)
('769', '72557bdf444427b5976baa84ae97662797653926', 0.6985605909046616)
('769', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.6983619965300772)
('769', '7322da961ba933bc35e14f2c959f728572988e0f', 0.6981080460718482)
('2295', '0604a3c71b790d804eda9956bae0851ed149620a', 0.6976070721066352)
('949', '7b9f3d6fdd35e7d505f3170f62191cb73aec567e', 0.6970032620960432)
('769', '91edb244f2cb4bf1aa2c792d629753f060ac5a9e', 0.6969543384550992)
('2183', '51ba2f29c29019256579bf052f843bf409190f89', 0.6963735476389395)
('1717', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.6957412560405476)
('769', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.695269126140988)
('1695', '643d1e6e0c4c9ab63ec88a01f2644502607378e2', 0.6945927023415954)
('2051', 'd395ad917887ca80de409abe91e473827ef1f4c2', 0.6944892617192349)
('2222', 'fd872b99440b6484a16338400e56a470009325a8', 0.6929406121639752)
('769', '2a58d6f1307ce52a4f1712262978699517506e9c', 0.6927879971941266)
('1799', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.6923530486223415)
('2135', 'fc83d7270be9b944fc4eacbc3ca07c8d8e48c660', 0.6907386547232588)
('1542', '3902b8c30a7af4e20c5d6ebd65e3f1798c4f5cae', 0.6896673650659452)
('2222', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.6892392542313722)
('2545', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.6891517423692132)
('2500', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.6885690214214923)
('2182', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.6877966152802285)
('1542', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.6877395177536105)
('2500', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.6872298083866448)
('1235', '191965d1c0f99cca7e4a93b8598fee9fb7864012', 0.6866468593365388)
('1905', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.6865726512489522)
('2876', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.6863681490519781)
('2330', 'c367131e03e90656ccc7d661defb7a3b31e509ee', 0.6863666353979757)
('1396', '7322da961ba933bc35e14f2c959f728572988e0f', 0.6857303339886613)
('1396', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.6854654333647616)
('769', '6ac76acdfe73b3fc10987da67c70c3b75c8cfad1', 0.6854505881807932)
('2115', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.6847233852601313)
('2115', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.6846830608148834)
('2183', '6672fc5cd92949dab714dfc69a25a34db51c8ff3', 0.6846455327132869)
('949', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.6844681555439744)
('2182', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.6843902866644855)
('2222', '84465a0678fa29360dea313a93158729624846b9', 0.6840203888031158)
('2378', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.6834119957033488)
('1695', 'dd8a2c4224a356b1387923bc96a9af643248adb7', 0.6833155942002641)
('471', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.68314643123465)
('2116', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.6821609097457365)
('2116', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.6820326481396888)
('769', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.6813011141214137)
('222', 'de35f3f55ce0aacac082766da6e7377d918d6e94', 0.6810401163571722)
('1311', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.6809734831115225)
('769', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.6801042512528195)
('2182', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.679077345867594)
('2182', 'fd872b99440b6484a16338400e56a470009325a8', 0.6790210567429499)
('949', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.6786986815886287)
('1542', '9f07744b03c875d3b6cd29db63012f520c9ce58b', 0.6786401234664635)
('769', '478c3c306143491501b485dd641280dd410c1716', 0.678625846751873)
('1285', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.6778687069732077)
('949', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.6772563975431128)
('2260', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.6768282158140414)
('769', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.6764173725363984)
('222', 'e10f2849d046265bf17360ab4aa9eb60fd3ab8de', 0.6754661270356224)
('1542', 'd9eccdbc45a99d0b0aaa685f56d4da3cb73aa36c', 0.6752663758691104)
('1717', '47ae7d32679994b5eb4b78ac3df9dc4eb8321abd', 0.6744674406314956)
('2500', 'dfbf03f72ec5c90cf8ea1d7e0161cc37281ed456', 0.674248874293948)
('2260', '51ba2f29c29019256579bf052f843bf409190f89', 0.6742319409954894)
('1923', '7e7ccc11c5cac219742e355fadb8a893ebe1037e', 0.6741521384082069)
('1808', 'cdcc4ed07c9975f21a8650fb319403b8dc05df57', 0.6737942229400238)
('2295', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.6735564743030417)
('949', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.6733389245050578)
('949', 'fc96c0c424be484b56b369a361603f87b5fd1cdf', 0.6732881461056113)
('2182', '51ba2f29c29019256579bf052f843bf409190f89', 0.6724827895932882)
('2222', '6d9c176450b430fc23bb8da4c73142cafe505ad4', 0.6714184881052974)
('2611', '2a64573d5d326313e2cf77dc3e0c18d745cd115f', 0.670367795554937)
('1542', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.6701299594482669)
('769', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.6699183370077515)
